CASE ID,SOURCE,DEPARTMENT,WORK GROUP,REQUEST TYPE,CATEGORY,TYPE,DETAIL,CREATION DATE,CREATION TIME,CREATION MONTH,CREATION YEAR,STATUS,EXCEEDED EST TIMEFRAME,CLOSED DATE,CLOSED MONTH,CLOSED YEAR,DAYS TO CLOSE,STREET ADDRESS,ADDRESS WITH GEOCODE,ZIP CODE,NEIGHBORHOOD,COUNTY,COUNCIL DISTRICT,POLICE DISTRICT,PARCEL ID NO,LATITUDE,LONGITUDE,CASE URL,30-60-90 Days Open Window,nbh_id,nbh_name
2019204570,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,12/17/2019,10:16 AM,12,2019,RESOL,N,12/18/2019,12.0,2019.0,1.0,901 E 27th St,"901 E 27th St64109
(39.077584, -94.573246)",64109.0,Longfellow,Jackson,3.0,Central,126802,39.077584,-94.573246,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019204570,,12,Longfellow
2018095398,WEB,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,07/16/2018,08:27 PM,7,2018,RESOL,Y,10/24/2019,10.0,2019.0,465.0,2724 Campbell St,"2724 Campbell St64109
(39.077038, -94.574307)",64109.0,Longfellow,Jackson,4.0,Central,126806,39.077038,-94.574307,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2018095398,,12,Longfellow
2019065087,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Trash / Recycling,Nuisance,Trash on Private Property,04/02/2019,02:51 PM,4,2019,RESOL,Y,10/24/2019,10.0,2019.0,205.0,811 E 30th St,"811 E 30th St64109
(39.072218, -94.574714)",64109.0,Longfellow,Jackson,4.0,Central,127167,39.072218,-94.574714,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019065087,,12,Longfellow
2020007721,WEB,Public Works,Public Works-Street and Traffic-District 2,Streets / Roadways / Alleys-Pothole-District 2,Streets / Roadways / Alleys,Pothole,District 2,01/17/2020,05:57 PM,1,2020,RESOL,Y,02/11/2020,2.0,2020.0,25.0,3025 Gillham Rd,"3025 Gillham Rd64108
(39.071307, -94.578526)",64108.0,Longfellow,Jackson,4.0,Central,126959,39.071307,-94.578526,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020007721,,12,Longfellow
2020101592,PHONE,Health,Health-Communicable Disease Control-,Public Health-Disease Control-All,Public Health,Disease Control,All,07/24/2020,10:12 AM,7,2020,RESOL,N,07/24/2020,7.0,2020.0,0.0,2500 Troost Ave,"2500 Troost Ave64108
(39.080041, -94.571488)",64108.0,Longfellow,Jackson,3.0,Central,125493,39.080041,-94.571488,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020101592,,12,Longfellow
2020101765,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Recycling-Missed by City,Trash / Recycling,Recycling,Missed by City,07/24/2020,01:37 PM,7,2020,RESOL,N,07/27/2020,7.0,2020.0,3.0,610 E 30th St,"610 E 30th St64109
(39.072767, -94.577282)",64109.0,Longfellow,Jackson,4.0,Central,126985,39.072767,-94.577282,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020101765,,12,Longfellow
2019183964,PHONE,NHS,NHS-Neighborhood Preservation-,Property Violations,Property / Buildings / Construction,Property Maintenance,Other Property Issue,10/23/2019,03:43 PM,10,2019,OPEN,Y,,,,,514 E 31st St,"514 E 31st St64108
(39.07103, -94.577988)",64108.0,Longfellow,Jackson,4.0,Central,127081,39.07103,-94.577988,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019183964,30.0,12,Longfellow
2019205028,PHONE,NHS,NHS-Solid Waste-,Trash / Recycling-Trash Collection-Missed by City,Trash / Recycling,Trash Collection,Missed by City,12/17/2019,04:18 PM,12,2019,RESOL,Y,12/21/2019,12.0,2019.0,4.0,706 E 29th St,"706 E 29th St64109
(39.074488, -94.576049)",64109.0,Longfellow,Jackson,4.0,Central,126928,39.074488,-94.576049,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019205028,,12,Longfellow
2019180197,WEB,Public Works,Public Works-Capital Projects-Sidewalks,Sidewalks / Curbs / Ditch-Damage / Dis-Repair-ADA,Sidewalks / Curbs / Ditch,Damage / Dis-Repair,ADA,10/15/2019,02:09 PM,10,2019,RESOL,N,10/22/2019,10.0,2019.0,7.0,2900 Cherry St,"2900 Cherry St64108
(39.074171, -94.577905)",64108.0,Longfellow,Jackson,4.0,Central,126995,39.074171,-94.577905,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019180197,,12,Longfellow
2018072006,PHONE,Water Services,Water Services-Line Maintenance-Wastewater,Sewer-Sewer Referral-Repair,Storm Water / Sewer,Sewer Referral,Repair,06/05/2018,10:11 AM,6,2018,RESOL,Y,12/31/2019,12.0,2019.0,574.0,2740 HOLMES ST,"2740 HOLMES ST64109
(39.076333, -94.576599)",64109.0,Longfellow,Jackson,4.0,Central,126905,39.076333,-94.576599,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2018072006,,12,Longfellow
